,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
210,1888-07,15.238451871881988,0.06562346414239109,14.262258551479814,0.07011512211691343,14.044047817576493,0.07120454252145694
211,1888-08,15.565630953475326,0.06424410311338717,14.576885211491277,0.06860176131535138,14.353523965152366,0.069669302286171
212,1888-09,15.952156482107148,0.06268744925625933,14.947042556102518,0.06690286698834105,14.720115696577038,0.06793424865760643
213,1888-10,15.684596660025726,0.06375681961581024,14.703669691119158,0.0680102328879156,14.482689593341386,0.06904794814215749
214,1888-11,15.199202591972993,0.06579292525044178,14.254852330833383,0.07015155098008208,14.044994442274847,0.07119974337547914
215,1888-12,14.92848252217027,0.06698604486523672,14.004641743987591,0.07140489691064861,13.806607534516502,0.07242908857226521
216,1889-01,15.782906462840922,0.06335968614870699,14.806656282133748,0.06753719279663678,14.611344073866967,0.06843997341685658
217,1889-02,16.168731553737913,0.061847770598233376,15.16916787638898,0.06592319421532106,14.983277129197207,0.06674107348994747
218,1889-03,16.042879932700796,0.06233294796164764,15.046047655238375,0.0664626367610795,14.879271417676842,0.06720759181877561
219,1889-04,16.030400087384397,0.062381474857073585,15.02746950009335,0.0665448031682106,14.87979165254883,0.06720524207264053
220,1889-05,16.890792366690413,0.05920385369084614,15.82174027427544,0.06320417240231781,15.691622622304973,0.06372827234441278
221,1889-06,17.199037692110508,0.05814278786415574,16.092040548801883,0.062142523004918356,15.98935402257538,0.06254161353786396
222,1889-07,16.869704137181365,0.0592778623660606,15.767144355977017,0.06342302559188022,15.693863178391064,0.06371917408945578
223,1889-08,17.112883039874156,0.0584355071947803,15.972904671717666,0.06260602066765254,15.93088826131328,0.06277113890933561
224,1889-09,17.32822449826821,0.05770931696435145,16.15681685770294,0.06189337966799067,16.13876652455989,0.06196260404896528
225,1889-10,17.02605209710301,0.05873352168176148,15.861723991623242,0.0630448493825836,15.864110182959921,0.06303536652652146
226,1889-11,16.86962181512841,0.05927815163605006,15.709027814721056,0.06365766308357364,15.723864885861698,0.06359759558218807
227,1889-12,16.573127770741582,0.060338640589340846,15.426356673700445,0.06482412024770862,15.449778895134788,0.06472584538506923
228,1890-01,17.1770876016225,0.05821708680728523,15.981836406396232,0.06257103217498718,16.01476685923259,0.06244237014437055
229,1890-02,16.987684200747406,0.05886617552944639,15.795657946148983,0.06330853728342492,15.840434251119172,0.06312958244369767
230,1890-03,16.864203160417144,0.05929719836079492,15.668877923369468,0.06382077931110448,15.727264822337157,0.06358384698779394
231,1890-04,17.229032932571307,0.05804156297765909,15.98699601928435,0.06255083811828988,16.069964153594324,0.06222789238620254
232,1890-05,17.767021501099087,0.05628405413581218,16.45660078926772,0.06076589040503167,16.575116000002172,0.060331402808877416
233,1890-06,17.671962447130355,0.0565868110568775,16.33225674708314,0.06122852557890354,16.49090301968078,0.06063949310759802
234,1890-07,17.58121269326823,0.05687889780111104,16.21195659224132,0.06168286932612301,16.409863177918734,0.0609389602556595
235,1890-08,16.598609114274325,0.060246011766132194,15.267691399840352,0.06549778704660329,15.49807487592795,0.06452414303103081
236,1890-09,16.175270702107206,0.06182276750828824,14.838991507680484,0.06739002441523145,15.107404945631185,0.0661927050740229
237,1890-10,15.491737277202718,0.06455053956224631,14.170894247514916,0.07056717681563147,14.473113362517262,0.06909363417202401
238,1890-11,14.752148783716434,0.06778673498085985,13.453716780726841,0.07432890228762305,13.785368530907867,0.07254067947171106
239,1890-12,14.451629091438042,0.06919635105999615,13.202986424561248,0.07574043991590572,13.506335495122459,0.07403932771854585
240,1891-01,15.438182811709673,0.06477446291421761,14.12516499063277,0.07079563323070272,14.429789582685272,0.06930107984387585
241,1891-02,15.481539915154507,0.06459305763382905,14.184265448086649,0.07050065466272648,14.472211297478859,0.0690979408360494
242,1891-03,15.056951975391543,0.06641450418613,13.813022490545327,0.07239545151573273,14.074685668514144,0.07104954409298501
243,1891-04,15.409015153887768,0.06489707421357784,14.152447661918963,0.07065915549652757,14.402412779036109,0.06943281069235718
244,1891-05,15.563928301272421,0.06425113124674607,14.30841755323304,0.06988893050399178,14.54409771962787,0.06875641372035463
245,1891-06,15.648334446521696,0.06390456463066455,14.399105502208101,0.06944875845563116,14.620099329005471,0.06839898809825834
