,apr,15y_10d,15y_12d,15y_15d,15y_18d,15y_20d,30y_10d,30y_12d,30y_15d,30y_18d,30y_20d
46,0.0046,0.00517544148469344,0.005060431673922475,0.004887916957766027,0.004715402241609578,0.004600392430838613,0.0026769446178248803,0.002617456959650994,0.0025282254723901646,0.0024389939851293353,0.002379506326955449
47,0.0047,0.005179299463379618,0.00506420391974896,0.004891560604302973,0.004718917288856986,0.004603821745226327,0.0026808792445201734,0.002621304150197503,0.0025319415087134973,0.0024425788672294917,0.0023830037729068213
48,0.0048000000000000004,0.00518315931497331,0.005067977996862792,0.004895206019697016,0.004722434042531239,0.0046072527244207205,0.0026848176115433077,0.0026251549979534566,0.0025356610775686796,0.0024461671571839026,0.002386504543594051
49,0.0049,0.005187021039413989,0.00507175390520479,0.00489885320389099,0.004725952502577191,0.00461068536836799,0.0026887597185295286,0.0026290095025622057,0.0025393841786112217,0.0024497588546602378,0.002390008638692915
50,0.005,0.005190884636637421,0.005075531644712145,0.004902502156824231,0.004729472668936318,0.004614119677011042,0.002692705565105953,0.0026328676636591538,0.002543110811488956,0.0024533539593187574,0.0023935160578719586
51,0.0051,0.005194750106581127,0.005079311215323769,0.004906152878437731,0.004732994541551694,0.004617555650294335,0.0026966551508943266,0.002636729480874453,0.002546840975844642,0.0024569524708148312,0.0023970268007949573
52,0.005200000000000001,0.005198617449173899,0.005083092616970034,0.004909805368664238,0.004736518120358441,0.004620993288154577,0.0027006084755057847,0.0026405949538278782,0.002550574671311019,0.0024605543887941594,0.0024005408671162534
53,0.0053,0.005202486664351643,0.005086875849588272,0.004913459627443217,0.004740043405298163,0.004624432590534793,0.0027045655385487537,0.002644464082136559,0.0025543118975182673,0.0024641597128999757,0.002404058256487781
54,0.0054,0.005206357752046764,0.005090660913112392,0.004917115654710833,0.004743570396309274,0.004627873557374902,0.002708526339623663,0.002648336865409804,0.002558052654089015,0.0024677684427682266,0.0024075789685543674
55,0.0055000000000000005,0.0052102307121932355,0.0050944478074778305,0.004920773450404722,0.004747099093331614,0.004631316188616209,0.002712490878325484,0.002652213303251585,0.002561796940640735,0.0024713805780298857,0.002411103002955986
56,0.0056,0.005214105544716885,0.005098236532612064,0.004924433014454835,0.004750629496297606,0.0046347604841927865,0.002716459154238874,0.0026560933952557877,0.0025655447567811585,0.0024749961183065296,0.0024146303593234435
57,0.0057,0.005217982249550079,0.005102027088448966,0.004928094346797297,0.004754161605145628,0.004638206444044515,0.002720431166945504,0.002659977141013382,0.0025692961021151982,0.002478615063217015,0.002418161037284893
