,date,cpi
645,1924-10,17.2
646,1924-11,17.2
647,1924-12,17.3
648,1925-01,17.3
649,1925-02,17.2
650,1925-03,17.3
651,1925-04,17.2
652,1925-05,17.3
653,1925-06,17.5
654,1925-07,17.7
655,1925-08,17.7
656,1925-09,17.7
657,1925-10,17.7
658,1925-11,18.0
659,1925-12,17.9
660,1926-01,17.9
661,1926-02,17.9
662,1926-03,17.8
663,1926-04,17.9
664,1926-05,17.8
665,1926-06,17.7
666,1926-07,17.5
667,1926-08,17.4
668,1926-09,17.5
669,1926-10,17.6
670,1926-11,17.7
671,1926-12,17.7
672,1927-01,17.5
673,1927-02,17.4
674,1927-03,17.3
675,1927-04,17.3
676,1927-05,17.4
677,1927-06,17.6
678,1927-07,17.3
679,1927-08,17.2
680,1927-09,17.3
681,1927-10,17.4
682,1927-11,17.3
683,1927-12,17.3
684,1928-01,17.3
685,1928-02,17.1
686,1928-03,17.1
687,1928-04,17.1
688,1928-05,17.2
689,1928-06,17.1
690,1928-07,17.1
691,1928-08,17.1
692,1928-09,17.3
693,1928-10,17.2
694,1928-11,17.2
695,1928-12,17.1
696,1929-01,17.1
697,1929-02,17.1
698,1929-03,17.0
699,1929-04,16.9
700,1929-05,17.0
701,1929-06,17.1
702,1929-07,17.3
703,1929-08,17.3
704,1929-09,17.3
705,1929-10,17.3
706,1929-11,17.3
707,1929-12,17.2
708,1930-01,17.1
709,1930-02,17.0
710,1930-03,16.9
711,1930-04,17.0
712,1930-05,16.9
713,1930-06,16.8
714,1930-07,16.6
715,1930-08,16.5
716,1930-09,16.6
717,1930-10,16.5
718,1930-11,16.4
719,1930-12,16.1
720,1931-01,15.9
721,1931-02,15.7
722,1931-03,15.6
723,1931-04,15.5
724,1931-05,15.3
725,1931-06,15.1
726,1931-07,15.1
727,1931-08,15.1
728,1931-09,15.0
729,1931-10,14.9
730,1931-11,14.7
731,1931-12,14.6
732,1932-01,14.3
733,1932-02,14.1
734,1932-03,14.0
735,1932-04,13.9
736,1932-05,13.7
737,1932-06,13.6
738,1932-07,13.6
739,1932-08,13.5
740,1932-09,13.4
741,1932-10,13.3
742,1932-11,13.2
743,1932-12,13.1
744,1933-01,12.9
745,1933-02,12.7
746,1933-03,12.6
747,1933-04,12.6
748,1933-05,12.6
749,1933-06,12.7
750,1933-07,13.1
751,1933-08,13.2
752,1933-09,13.2
753,1933-10,13.2
754,1933-11,13.2
755,1933-12,13.2
756,1934-01,13.2
757,1934-02,13.3
758,1934-03,13.3
759,1934-04,13.3
760,1934-05,13.3
761,1934-06,13.4
762,1934-07,13.4
763,1934-08,13.4
764,1934-09,13.6
765,1934-10,13.5
766,1934-11,13.5
767,1934-12,13.4
768,1935-01,13.6
769,1935-02,13.7
770,1935-03,13.7
771,1935-04,13.8
772,1935-05,13.8
773,1935-06,13.7
774,1935-07,13.7
775,1935-08,13.7
776,1935-09,13.7
777,1935-10,13.7
778,1935-11,13.8
779,1935-12,13.8
780,1936-01,13.8
781,1936-02,13.8
782,1936-03,13.7
783,1936-04,13.7
784,1936-05,13.7
785,1936-06,13.8
786,1936-07,13.9
787,1936-08,14.0
788,1936-09,14.0
789,1936-10,14.0
790,1936-11,14.0
791,1936-12,14.0
792,1937-01,14.1
793,1937-02,14.1
794,1937-03,14.2
795,1937-04,14.3
796,1937-05,14.4
797,1937-06,14.4
798,1937-07,14.5
799,1937-08,14.5
800,1937-09,14.6
801,1937-10,14.6
802,1937-11,14.5
803,1937-12,14.4
804,1938-01,14.2
805,1938-02,14.1
806,1938-03,14.1
807,1938-04,14.2
808,1938-05,14.1
809,1938-06,14.1
810,1938-07,14.1
811,1938-08,14.1
812,1938-09,14.1
813,1938-10,14.0
