date,median_income
2012-05,50634.49
2012-06,50849.74
2012-07,51065.00
2012-08,51280.25
2012-09,51495.50
2012-10,51710.76
2012-11,51926.01
2012-12,52141.26
2013-01,52356.51
2013-02,52433.82
2013-03,52511.12
2013-04,52588.43
2013-05,52665.73
2013-06,52743.04
2013-07,52820.34
2013-08,52897.65
2013-09,52974.95
2013-10,53052.26
2013-11,53129.56
2013-12,53206.87
2014-01,53284.17
2014-02,53555.40
2014-03,53826.63
2014-04,54097.87
2014-05,54369.10
2014-06,54640.33
2014-07,54911.56
2014-08,55182.80
2014-09,55454.03
2014-10,55725.26
2014-11,55996.49
2014-12,56267.73
2015-01,56538.96
2015-02,56672.91
2015-03,56806.86
2015-04,56940.81
2015-05,57074.76
2015-06,57208.71
2015-07,57342.66
2015-08,57476.61
2015-09,57610.56
2015-10,57744.51
2015-11,57878.46
2015-12,58012.41
2016-01,58146.36
2016-02,58374.94
2016-03,58603.52
2016-04,58832.10
2016-05,59060.69
2016-06,59289.27
2016-07,59517.85
2016-08,59746.43
2016-09,59975.01
2016-10,60203.59
2016-11,60432.18
2016-12,60660.76
2017-01,60889.34
2017-02,61056.61
2017-03,61223.88
2017-04,61391.15
2017-05,61558.42
2017-06,61725.69
2017-07,61892.97
2017-08,62060.24
2017-09,62227.51
2017-10,62394.78
2017-11,62562.05
2017-12,62729.32
2018-01,62896.59
2018-02,63387.08
2018-03,63877.56
2018-04,64368.04
2018-05,64858.53
2018-06,65349.01
2018-07,65839.50
2018-08,66329.98
2018-09,66820.47
2018-10,67310.95
2018-11,67801.43
2018-12,68291.92
2019-01,68782.40
2019-02,68671.78
2019-03,68561.15
2019-04,68450.53
2019-05,68339.90
2019-06,68229.27
2019-07,68118.65
2019-08,68008.02
2019-09,67897.40
2019-10,67786.77
2019-11,67676.15
2019-12,67565.52
2020-01,67454.90
2020-02,67737.46
2020-03,68020.02
2020-04,68302.58
2020-05,68585.14
2020-06,68867.70
2020-07,69150.26
2020-08,69432.83
2020-09,69715.39
2020-10,69997.95
2020-11,70280.51
2020-12,70563.07
2021-01,70845.63
2021-02,71122.86
